"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","62723","@negative Create Provider without API key","firefox","2026-02-24","broken","2026-02-24","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.js","",""
"","61223","Verify user can create new AGP rule","webkit","2026-02-19","broken","2026-02-19","Agent Studio - AGP Module","agent-studio\agp.spec.js","",""
"","0","Delete Component","webkit","2026-04-15","skipped","2026-04-15","Agent Studio - Components Deployment","agent-studio\componentsDeployment.spec.ts","",""
"","0","Deploy Component","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - Components Deployment","agent-studio\componentsDeployment.spec.ts","",""
"","0","Invalid email format should not login","webkit","2026-04-15","skipped","2026-04-15","Authentication – Negative Login","auth\login.negative.spec.js","",""
"","1","Verify Deployed","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - Components Deployment","agent-studio\componentsDeployment.spec.ts","",""
"","0","@negative @regression AGP-004 Verify rule creation fails without required fields","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - AGP Module","agent-studio\agp.spec.ts","",""
"","1","Verify Ready to Deploy","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - Components Deployment","agent-studio\componentsDeployment.spec.ts","",""
"","1","Verify MAN Deployment Observability","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - Observability Module","agent-studio\observability.spec.ts","",""
"","0","Verify Total Tickets count is visible","chromium","2026-04-15","skipped","2026-04-15","Agent Studio – Overview","agent-studio\overview\overview.spec.ts","",""
"","0","Verify user can open Flow Deployment page","webkit","2026-04-15","skipped","2026-04-15","Agent Studio - Flow Deployment Module","agent-studio\flow-deployment\flowDeployment.spec.ts","",""
"","6064","@negative Create Provider without API key","webkit","2026-02-24","failed","2026-02-24","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.js","",""
"","0","Wrong password should not login","chromium","2026-04-15","skipped","2026-04-15","Authentication – Negative Login","auth\login.negative.spec.js","",""
"","0","Verify Flow Deployment Observability","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - Observability Module","agent-studio\observability.spec.ts","",""
"","0","Verify MAN Deployment Observability","webkit","2026-04-15","skipped","2026-04-15","Agent Studio - Observability Module","agent-studio\observability.spec.ts","",""
"","3","@regression Create Connection and Sync","chromium","2026-02-20","skipped","2026-02-20","ETL Module Tests","agent-studio\etl.spec.js","",""
"","0","@regression Edit Provider","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.ts","",""
"","0","Wrong OTP should not login","webkit","2026-04-15","skipped","2026-04-15","Authentication – Negative Login","auth\login.negative.spec.js","",""
"","0","Verify user can switch environment","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - Flow Deployment Module","agent-studio\flow-deployment\flowDeployment.spec.ts","",""
"","2","View Project","chromium","2026-04-15","skipped","2026-04-15","Vanij Agent Studio - Projects Module","agent-studio\projects.spec.ts","",""
"","0","Verify Deployed Components count is visible","firefox","2026-04-15","skipped","2026-04-15","Agent Studio – Overview","agent-studio\overview\overview.spec.ts","",""
"","62364","@regression Create Template","chromium","2026-02-24","broken","2026-02-24","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.js","",""
"","0","Wrong password should not login","auth-webkit","2026-04-15","skipped","2026-04-15","Authentication – Negative Login","auth\login.negative.spec.js","",""
"","0","@smoke @ui Verify CPAAS loads","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.ts","",""
"","0","Verify user can clone MAN","chromium","2026-04-15","skipped","2026-04-15","MAN - Clone","agent-studio\man\man.clone.spec.ts","",""
"","62666","@sanity Create Provider","chromium","2026-02-24","broken","2026-02-24","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.js","",""
"","0","@negative Invalid Port Test","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - ETL Module","agent-studio\etl.spec.ts","",""
"","60980","@sanity AGP-005 Verify file upload input exists","webkit","2026-02-20","broken","2026-02-20","Agent Studio - AGP Module","agent-studio\agp.spec.js","",""
"","0","@regression Create Connection and Sync","webkit","2026-02-20","skipped","2026-02-20","ETL Module Tests","agent-studio\etl.spec.js","",""
"","0","Verify user can login using Email + Password","auth-firefox","2026-04-15","skipped","2026-04-15","Authentication – Password Login","auth\login.password.spec.js","",""
"","0","Verify user can edit a component","webkit","2026-04-15","skipped","2026-04-15","Agent Studio – Components","agent-studio\components\components.spec.ts","",""
"","0","Create Project","firefox","2026-04-15","skipped","2026-04-15","Vanij Agent Studio - Projects Module","agent-studio\projects.spec.ts","",""
"","61430","Verify Invalid Search","chromium","2026-04-15","broken","2026-04-15","AI Marketplace Module","marketplace\marketplace.spec.ts","",""
"","0","Verify Closed Tickets count is visible","firefox","2026-04-15","skipped","2026-04-15","Agent Studio – Overview","agent-studio\overview\overview.spec.ts","",""
"","0","@smoke @ui AGP-001 Verify user can open AGP module","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - AGP Module","agent-studio\agp.spec.ts","",""
"","0","@negative Create Provider without API key","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.ts","",""
"","60582","@smoke @ui AGP-001 Verify user can open AGP module","firefox","2026-02-20","broken","2026-02-20","Agent Studio - AGP Module","agent-studio\agp.spec.js","",""
"","0","Verify user can switch environment","webkit","2026-04-15","skipped","2026-04-15","Agent Studio - Flow Deployment Module","agent-studio\flow-deployment\flowDeployment.spec.ts","",""
"","1","@regression Create Template","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.ts","",""
"","60961","@regression Edit Provider","chromium","2026-02-24","broken","2026-02-24","Agent Studio - CPAAS Module","agent-studio\cpaas.spec.js","",""
"","0","Verify Resolved Tickets count is visible","chromium","2026-04-15","skipped","2026-04-15","Agent Studio – Overview","agent-studio\overview\overview.spec.ts","",""
"","0","@regression Create Destination","firefox","2026-02-24","skipped","2026-02-24","Agent Studio - ETL Module","agent-studio\etl.spec.js","",""
